global_step,seen_tokens,lr,recent_loss,eval_s,ckpt_s,svg_s,meta_s,log_s,val_ppl,best_val_ppl,patience_count
192000,9.22B,3.928e-06,3.8638,9.68,0.00,0.02,0.00,0.02,49.63,48.98,3
193000,9.26B,3.464e-06,3.8637,9.89,0.00,0.01,0.00,0.01,48.98,48.98,4
194000,9.31B,3.029e-06,3.8627,9.71,0.00,0.03,0.00,0.03,49.56,48.98,5
195000,9.36B,2.622e-06,3.8625,9.64,0.00,0.02,0.00,0.02,49.15,48.98,6
196000,9.41B,2.245e-06,3.8589,9.71,0.00,0.02,0.00,0.02,49.38,48.98,7
197000,9.46B,1.896e-06,3.8601,9.66,0.00,0.01,0.00,0.01,49.04,48.98,8
198000,9.5B,1.577e-06,3.8539,9.66,1.58,0.00,0.00,1.65,48.87,48.87,9
199000,9.55B,1.287e-06,3.8597,9.68,0.00,0.01,0.00,0.01,49.03,48.87,0
200000,9.6B,1.027e-06,3.8565,9.70,0.00,0.01,0.00,0.01,49.12,48.87,1
201000,9.65B,7.953e-07,3.8502,9.72,0.00,0.02,0.00,0.02,49.15,48.87,2
202000,9.7B,5.934e-07,3.8618,9.64,1.80,0.01,0.01,1.82,48.76,48.76,3
203000,9.74B,4.209e-07,3.8584,9.70,0.00,0.01,0.00,0.01,49.05,48.76,0
204000,9.79B,2.78e-07,3.8607,9.68,0.00,0.02,0.00,0.02,48.86,48.76,1
205000,9.84B,1.646e-07,3.8645,9.68,0.00,0.01,0.00,0.01,48.81,48.76,2
206000,9.89B,8.067e-08,3.8583,9.67,0.00,0.01,0.00,0.01,49.16,48.76,3
207000,9.94B,2.637e-08,3.8569,9.71,0.00,0.01,0.00,0.01,49.16,48.76,4
208000,9.98B,1.661e-09,3.8610,9.70,0.00,0.01,0.00,0.01,49.23,48.76,5
208334,10B,1.48e-14,3.8600,9.65,0.00,0.02,0.00,0.02,49.10,48.76,6
